나자, 82, 193
차카, 90, 153
카다, 61, 175
마타, 63, 166
나마, 76, 151
마카, 57, 172
마차, 50, 152
파카, 95, 175
파자, 67, 190
가가, 42, 198
다카, 51, 197
마하, 81, 161
차가, 75, 164
타라, 75, 197
라나, 50, 198
나아, 92, 146
차타, 51, 154
하카, 41, 180
라가, 65, 186
타마, 68, 154
타하, 93, 199
마라, 70, 173
마차, 45, 187
아다, 89, 183
아다, 70, 159
차자, 65, 181
자바, 44, 195
파다, 44, 165
마가, 97, 151
타나, 75, 141
파다, 55, 149
자바, 51, 144
파라, 73, 183
자카, 50, 184
파타, 69, 156
카아, 97, 199
바타, 74, 166
자바, 51, 175
마자, 59, 177
가파, 69, 156
차파, 65, 164
나사, 69, 149
마바, 88, 165
바가, 62, 142
가사, 53, 149
나라, 43, 143
사라, 78, 146
다사, 85, 191
다바, 69, 197
라자, 47, 161
사하, 66, 174
다사, 74, 170
다타, 63, 187
바차, 59, 194
사마, 51, 141
아마, 44, 190
라사, 70, 173
다자, 41, 141
타아, 81, 178
타나, 73, 165
하나, 48, 187
하카, 95, 167
가하, 99, 172
마카, 83, 190
나다, 61, 153
카가, 66, 192
파하, 79, 183
차자, 75, 169
마타, 81, 166
카파, 51, 170
가카, 65, 144
하사, 57, 192
하하, 74, 156
나아, 53, 146
타차, 48, 144
자차, 55, 187
차카, 77, 149
라차, 79, 156
자사, 71, 182
다사, 78, 179
가차, 94, 180
사차, 83, 151
하하, 67, 163
차카, 68, 142
차다, 52, 185
다나, 93, 169
아가, 72, 150
아타, 65, 171
카타, 95, 197
카파, 59, 150
자마, 58, 150
사마, 58, 178
파아, 88, 157
타파, 67, 180
자하, 93, 169
자차, 85, 146
자파, 44, 195
바차, 79, 177
마아, 47, 181
라사, 66, 167
다라, 69, 177
하파, 70, 177
나아, 48, 187
마사, 85, 167
마카, 53, 192
마나, 94, 186
바자, 65, 195
다나, 51, 176
하라, 88, 185
사자, 80, 184
다하, 76, 156
다카, 46, 155
나나, 88, 180
사카, 45, 153
나타, 57, 151
파마, 76, 149
가다, 72, 174
가마, 47, 140
나자, 84, 150
마바, 75, 181
가바, 47, 169
나사, 83, 185
파바, 67, 142
가사, 83, 157
카아, 69, 157
하가, 79, 175
바사, 76, 150
파사, 47, 170
파타, 51, 189
마가, 79, 170
라사, 69, 198
다카, 62, 151
라사, 41, 173
하아, 56, 167
바라, 47, 162
라카, 51, 164
마마, 74, 143
나아, 57, 165
사라, 79, 185
하라, 41, 171
파바, 43, 199
아다, 64, 178
파바, 68, 142
마바, 52, 196
마하, 93, 198
나라, 90, 171
나바, 44, 164
바카, 57, 176
아나, 73, 178
아가, 78, 195
하마, 72, 198
하가, 77, 177
하바, 76, 162
사가, 71, 193
가타, 80, 173
사라, 65, 170
하사, 52, 191
자사, 72, 190
아하, 95, 178
라마, 88, 157
카나, 42, 146
다자, 58, 185
아아, 41, 152
아라, 71, 188
하다, 73, 148
하아, 56, 174
라카, 88, 170
카아, 89, 173
사다, 45, 152
라카, 71, 144
파자, 81, 184
라하, 41, 193
가라, 78, 174
사카, 47, 192
바다, 55, 190
가자, 82, 179
라나, 75, 173
마하, 42, 198
라가, 55, 150
다나, 49, 164
아파, 46, 178
나차, 80, 161
가가, 55, 140
가마, 52, 157
나마, 93, 190
아가, 57, 198
사하, 91, 179
사차, 53, 184
가마, 49, 193
나나, 99, 193
나바, 74, 148
카가, 63, 177
가가, 49, 160
카타, 43, 151
차마, 57, 150
나사, 54, 153
라다, 57, 195
마나, 64, 163
라바, 43, 145
바카, 77, 157
카카, 60, 173
타다, 65, 184
카파, 65, 168
라아, 81, 143
차나, 70, 142
카사, 48, 149
가마, 87, 198
다타, 91, 144
타다, 86, 186
카나, 42, 167
마바, 86, 162
카아, 74, 164
하나, 97, 189
파마, 67, 153
바하, 99, 181
